CASE_ENQUIRY_ID,OPEN_DT,CLOSED_DT,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,LATITUDE,LONGITUDE,Source,Geocoded_Location
101000807663,03/20/2013 10:30:00 AM,03/22/2013 09:58:00 AM,Closed,Case Closed Case Resolved Patch crew filled  in large pothole ,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 1B: North End,PWDx,20 Myrtle St  Boston  MA  02114,3,1B,8,A1,Beacon Hill,14,Ward 5,503,C,20 Myrtle St,02114,42.359263,-71.065284,Constituent Call,"(42.359263, -71.065284)"
101000805374,03/16/2013 12:02:00 PM,03/21/2013 10:38:00 AM,Closed,Case Closed Case Resolved  completed 3/21/13  ,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 1B: North End,PWDx,131 Myrtle St  Boston  MA  02114,3,1B,8,A1,Beacon Hill,14,Ward 5,504,R1,131 Myrtle St,02114,42.35933,-71.06947,Citizens Connect App,"(42.35933, -71.06947)"
101000805211,03/15/2013 05:16:00 PM,03/21/2013 10:27:00 AM,Closed,Case Closed Case Resolved COMPLETED 3/21/13 ,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 1B: North End,PWDx,131 Myrtle St  Boston  MA  02114,3,1B,8,A1,Beacon Hill,14,Ward 5,504,R1,131 Myrtle St,02114,42.35933,-71.06947,Citizens Connect App,"(42.35933, -71.06947)"
101000805874,03/18/2013 08:42:00 AM,03/21/2013 10:46:00 AM,Closed,Case Closed Case Resolved  completed 3/21/13  ,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 1B: North End,PWDx,115 Myrtle St  Boston  MA  02114,3,1B,8,A1,Beacon Hill,14,Ward 5,504,R1,115 Myrtle St,02114,42.35934,-71.06882,City Worker App,"(42.35934, -71.06882)"
101000816956,04/04/2013 01:57:00 PM,04/05/2013 03:18:00 PM,Closed,Case Closed Case Resolved filled ,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 1B: North End,PWDx,148 State St  Boston  MA  02109,3,1B,1,A1,Downtown / Financial District,3,Ward 3,306,C,148 State St,02109,42.359387,-71.054174,Citizens Connect App,"(42.359387, -71.054174)"
101000809301,03/22/2013 12:01:00 PM,03/29/2013 02:05:00 PM,Closed,Case Closed Case Resolved  filled 3/29/13  ,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 1C: Downtown,PWDx, ,, ,, , ,, ,, ,,,42.3594,-71.0587,Self Service,"(42.3594, -71.0587)"
101000816105,04/03/2013 10:49:00 AM,04/03/2013 11:16:00 AM,Closed,Case Closed Case Resolved ,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 04: Allston/Brighton,PWDx, ,, ,, , ,, ,, ,,,42.3594,-71.0587,Self Service,"(42.3594, -71.0587)"
101000815677,04/02/2013 03:07:00 PM,04/02/2013 03:07:00 PM,Closed,Case Closed Internal Case Performed by Highway Maintenance crew. ,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 07: South Dorchester,PWDx,12 Tilesboro St  Dorchester  MA  02122,8,7,3,C11,Dorchester,7,16,1605, ,12 Tilesboro St,02122,42.3594,-71.0587,Employee Generated,"(42.3594, -71.0587)"
101000816439,04/03/2013 03:21:00 PM,04/04/2013 09:38:00 AM,Closed,Case Closed Case Referred to External Agency DCR jurisdiction. Information forwarded to DCR. ,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,INFO_Reallocation From Dept,INFO, ,, ,, , ,, ,, ,,,42.3594,-71.0587,Self Service,"(42.3594, -71.0587)"
101000809134,03/22/2013 09:37:00 AM,03/22/2013 01:01:00 PM,Closed,Case Closed Case Resolved pothole patched ,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 10B: Roxbury,PWDx,288-298A Dudley St  Roxbury  MA  02119,7,10B,7,B2,Roxbury,13,Ward 8,803, ,288-298A Dudley St,02119,42.3594,-71.0587,Citizens Connect App,"(42.3594, -71.0587)"
